specimen_id,species,caste,image_initials,measure_initials,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
PF190724-005,tern,W,CL,DMO,1.964,,0.607,,1.751,,0.564,,1.394,,0.449,,2.306,,0.915,,2.183,,0.838,,2.077,,0.636,,2.566,3.392,0.842,0.751,3.154,3.203,0.659,0.793,2.163,2.169,0.609,0.903,
PF190724-006,vag,W,CL,DMO,2.108,,0.556,,1.792,,0.529,,1.676,,0.514,,2.43,2.767,1.055,1.024,2.365,2.111,0.862,0.812,2.292,2.248,0.654,0.55,3.095,3.14,0.998,0.612,3.005,3.429,0.943,0.946,2.458,2.19,0.855,0.766,
PF190724-007,imp,Q,CL,CL,3.174,3.477,0.795,0.961,3.02,3.013,0.775,0.817,2.623,2.589,0.759,0.822,3.916,4.279,1.399,1.514,3.266,3.276,1.24,1.153,3.722,3.894,0.808,0.884,4.84,5.035,1.34,1.404,5.281,5.295,1.533,1.354,3.777,3.557,1.368,1.192,
PF190724-008,bim,W,CL,DMO,2.34,,0.71,,2.017,,0.53,,1.613,,0.502,,3.027,2.743,1.083,0.97,2.31,2.175,0.941,0.759,2.367,2.273,0.696,0.751,3.164,3.067,1.081,0.963,3.541,3.391,1.223,1.058,2.647,2.451,0.93,1.203,
PRM190709-001,bor,W,PF,DY,2.722,3.237,0.785,0.797,2.263,2.226,0.739,0.754,1.829,1.99,0.6,0.835,4.082,3.935,1.439,1.334,2.447,2.742,0.983,0.957,2.755,2.203,0.785,0.652,3.542,,1.313,,3.805,,1.441,,2.628,,1.013,,
RGA190718-001,tern,W,CL,DMO,,,,,,,,,,,,,1.95,,0.813,,2.315,,0.725,,2.095,,0.574,,,,,,,,,,,,,,
TJ190529-001,imp,W,CL,DMO,3.545,,0.977,,3.496,,1.028,,2.944,,0.981,,3.958,4.201,1.929,1.686,3.579,4.596,1.458,1.294,3.597,3.254,0.98,1.036,6.373,5.697,1.645,1.925,6.259,5.988,2.618,1.909,4.006,3.402,2.058,1.589,
TWM180615-004,tern,W,CL,DMO,1.811,1.899,0.539,0.585,1.675,1.618,0.528,0.507,1.282,1.288,0.347,0.32,1.843,2.312,0.877,0.906,1.78,1.716,0.795,0.688,1.847,1.852,0.603,0.414,2.457,2.519,0.814,0.86,2.579,2.579,0.888,0.958,1.995,1.686,0.702,0.769,
TWM180626-006,tern,W,CL,DMO,2.278,2.146,0.567,0.621,1.836,1.908,0.642,0.58,1.57,1.594,0.438,0.369,2.507,,1.049,,2.417,,0.876,,2.097,,0.698,,2.781,2.624,1.074,1.016,2.851,3.267,0.979,0.883,2.132,2.439,0.862,0.953,
TWM180626-007,tern,W,CL,DMO,2.35,2.352,0.693,0.715,1.837,1.884,0.535,0.565,1.594,1.569,0.453,0.53,2.426,2.92,0.997,0.937,2.309,2.272,0.864,0.864,2.041,2.02,0.685,0.699,2.761,2.94,0.816,0.917,3.515,3.553,1.14,1.166,2.026,1.868,0.91,0.869,
TWM180626-008,vag,W,CL,DMO,2.345,2.291,0.65,0.619,1.902,1.788,0.506,0.459,1.523,1.509,0.418,0.415,2.622,2.555,0.97,1.009,2.588,2.215,0.762,0.887,2.114,2.38,0.512,0.645,3.17,2.974,0.999,1.048,3.124,3.336,1.077,1.044,2.098,2.285,0.796,0.703,
TWM180626-010,vag,W,CL,DMO,2.339,2.208,0.594,0.609,1.996,1.829,0.593,0.59,1.493,1.575,0.414,0.318,2.729,2.651,1.096,0.998,2.327,2.284,0.974,0.84,2.173,2.288,0.652,0.614,2.996,2.748,0.973,0.848,3.356,3.166,1.003,1.002,2.181,2.202,1.039,0.925,
TWM180703-001,terri,W,CL,DMO,2.863,2.542,0.758,0.709,2.118,1.962,0.548,0.632,1.872,1.554,0.725,0.603,3.288,3.444,1.274,1.242,3.056,2.781,1.083,0.918,2.675,2.714,0.748,0.804,3.602,3.819,1.211,1.237,4.249,4.402,1.046,1.597,2.826,2.932,0.981,1.091,
TWM180703-004,bor,W,PF,DMO,2.949,2.957,0.876,1.02,2.478,2.416,0.826,0.821,1.799,1.919,0.648,0.67,3.472,3.331,1.198,1.029,3,2.913,1.04,0.826,2.769,2.695,0.673,0.692,3.852,,1.227,,4.473,,1.373,,3.062,,1.12,,
TWM180711-014,imp,W,DY,DY,2.732,2.768,0.742,0.738,1.953,2.069,0.675,0.696,1.789,1.912,0.739,0.622,3.967,4.017,1.118,1.138,2.43,2.4,0.978,0.902,2.648,2.36,0.87,0.776,3.364,,1.028,,4.033,4.111,1.579,1.633,2.613,2.522,1.187,1.241,
TWM180724-027,bor,W,PF,DMO,2.864,,1.087,,2.545,,0.736,,2.29,,0.546,,2.981,,0.85,,2.527,2.62,0.737,0.945,1.975,,0.415,0.504,3.899,3.428,1.305,1.147,4.164,,1.439,,2.914,2.739,1.144,,
TWM180731-002,imp,W,CL,DMO,,2.205,,0.534,,2.296,,0.632,,1.962,,0.656,2.842,3.033,1.068,1.02,2.462,2.341,0.832,0.811,2.232,2.465,0.657,0.749,3.249,,0.97,,3.711,3.552,1.108,1.185,2.59,2.353,1.07,1.18,
TWM180731-003,imp,W,CL,DMO,2.226,2.377,0.563,0.597,1.911,1.899,0.618,0.621,1.632,,0.477,,2.591,,1.012,,2.164,,0.997,,2.358,,0.789,,3.007,2.988,1.086,1.108,3.294,3.365,1.258,1.184,2.364,2.074,1.106,1.2,
TWM180731-004,imp,W,CL,DMO,2.114,,0.516,,1.839,,0.563,,1.62,,0.476,,2.412,,0.866,,1.56,,0.936,,2.078,,0.635,,,,,,1.962,2.996,1.034,1.077,2.253,2.277,0.641,0.964,
TWM180802-002,vag,W,CL,DMO,,2.361,,0.597,1.86,1.881,0.663,0.491,1.768,1.696,0.462,0.402,3.011,2.739,1.065,0.922,2.397,2.381,0.804,0.736,2.365,2.318,0.611,0.817,2.811,3.202,0.904,1.018,3.516,3.626,0.994,1.032,2.245,2.181,0.917,1.035,
TWM180802-006,bor,W,CL,DMO,2.98,2.983,0.721,0.782,2.313,2.275,0.752,0.873,1.569,1.907,0.486,0.496,2.746,3.608,1.386,1.559,3.066,3.05,1.078,1.131,3.202,2.933,0.625,0.656,4.168,4.314,1.283,1.298,4.692,4.577,1.366,1.318,3.128,3.251,0.892,0.991,
TWM180814-002,bor,W,DY,DY,2.734,3.056,0.74,0.833,1.75,1.936,0.644,0.632,1.571,1.842,0.545,0.488,3.396,3.885,1.437,1.25,2.394,2.532,0.791,0.943,2.197,2.439,0.771,0.742,3.002,3.466,1.175,1.262,3.643,4.157,1.291,1.514,2.523,2.389,0.968,0.988,
TWM180814-016,imp,W,CL,DMO,2.483,2.519,0.71,0.693,1.985,2.135,0.65,0.73,1.653,1.9,0.61,0.61,2.773,2.858,1.159,1.166,2.681,2.665,0.92,1.026,2.555,2.773,0.748,0.874,2.905,3.175,1.075,1.083,3.38,3.849,1.227,1.175,2.545,2.347,0.977,1.172,
