specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
MY180615-013,terricola,W,JL,4.282191319,19.33665478,141,899.333,651,its.large.tilt
,,,,,,,1062.667,717.667,
,,,,,,,1056,733.667,
,,,,,,,948,749,
,,,,,,,762.667,757,
,,,,,,,744.667,805.667,
MY180616-001,impatiens,Q,JL,5.246693048,,141.169,1309,816,its.large.tilt
,,,,,,,1527,954,
,,,,,,,1507,985,
,,,,,,,1328,982,
,,,,,,,1056,963,
,,,,,,,1009,1039,
MY180616-002,bimaculatus,W,JL,,,141.872,1039,332,
,,,,,,,1177.667,409.333,
,,,,,,,1167,424,
,,,,,,,1042.333,428.667,
,,,,,,,882.333,430,
,,,,,,,847,468.667,
MY180616-003,bimaculatus,W,JL,,,141.544,1057.667,374.667,
,,,,,,,1183,474.667,
,,,,,,,1173.667,488,
,,,,,,,1050.333,473.333,
,,,,,,,899.667,447.333,
,,,,,,,867,485.333,
MY180616-003a,bimaculatus,W,JL,,,140.734,1100.333,422,
,,,,,,,1222.333,505.333,
,,,,,,,1212.333,519.333,
,,,,,,,1113.667,513.333,
,,,,,,,961.667,481.333,
,,,,,,,939.667,516.667,
MY180616-004,ternarius,W,JL,,,142.068,1415.667,342,
,,,,,,,1518.333,433.333,
,,,,,,,1506.333,445.333,
,,,,,,,1409,426.667,
,,,,,,,1271,388.667,
,,,,,,,1240.333,416.667,
MY180814-001,borealis,M,JL,5.246693048,22.93489688,141.894,1086,470,its.large.tilt
,,,,,,,1238,587,
,,,,,,,1223,611,
,,,,,,,1092,607,
,,,,,,,897,573,
,,,,,,,853,626,
MY180814-003,vagans,W,JL,4.581317242,18.6049336,140.504,1089,433.333,its.large.tilt
,,,,,,,1253.667,518.667,
,,,,,,,1246.333,534.667,
,,,,,,,1105.667,542.667,
,,,,,,,924.333,532.667,
,,,,,,,891.667,572.667,
MY180814-009,vagans,W,JL,4.210058673,18.81961832,139.836,1028.667,695.333,its.large.tilt
,,,,,,,1174,782,
,,,,,,,1165.333,799.333,
,,,,,,,1048.667,795.333,
,,,,,,,874.667,774,
,,,,,,,852,812.667,
