specimen.id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,digitizer,species.det,provisional.species,caste,its,body.length,scale,name,description
FJ190716-012,2.768630594,1.078177061,4.507723695,0.278190612,0.11453377,3.064597259,0.504991922,1.03899336,0.243802599,0.253566643,2.769290089,0.427427032,4.119775141,0.807459365,0.591078552,DRA,bimaculatus,bimaculatus,W,5.03,21.884,105.23202,m01,Mentum length
FJ190724-005,3.02951522,1.084296443,5.080820562,0.270951534,0.106445144,3.538837662,0.394148954,1.129929671,0.204928855,0.216341291,2.743184858,0.384800105,4.551666164,0.831925356,0.652836414,DRA,bimaculatus,bimaculatus,W,5.3,23.674,98.0816,m01,Mentum length
FJ190827-010,2.5423782,0.878444531,3.794704815,0.223650715,0.116797214,2.91338163,0.481019582,0.885313347,0.232205306,0.352223219,2.573756559,0.351524855,3.683409504,0.622387558,0.483714398,DRA,bimaculatus,bimaculatus,W,4.201,17.666,277.36218,m01,Mentum length
JL190703-008,2.817549578,1.134096804,4.48345624,0.276676649,0.143577541,3.056289267,0.460999744,1.082829391,0.26086233,0.366980137,2.153842069,0.451350927,3.934495993,0.358039877,NA,DRA,bimaculatus,bimaculatus,W,4.687,20.537,108.45993,m01,Mentum length
MY190612-001,2.178231358,0.747630518,3.114764959,0.193175841,0.096587921,2.508426454,0.323688664,0.605496402,0.132517535,0.146583662,2.078801364,0.189424485,3.086871479,0.477091404,0.446230844,DRA,bimaculatus,bimaculatus,W,3.896,16.404,153.91231,m01,Mentum length
FJ190718-004,2.176040743,0.967564235,3.311811532,0.234469218,0.042698092,2.194521548,0.36020369,0.771692285,0.251568921,NA,2.232445635,0.27605241,3.037197248,0.66033288,0.556357462,DRA,impatiens,impatiens,W,4.435,18.677,148.53357,m01,Mentum length
FJ190822-003,2.921239201,1.118383251,4.613131522,0.267375627,0.091909255,3.161604241,0.564023953,0.999807907,0.261733145,0.363132954,2.874366418,0.42208077,4.205248193,0.897869391,0.578891483,DRA,impatiens,impatiens,W,5.886,22.538,207.86775,m01,Mentum length
FJ190716-002,2.14200468,0.980479578,3.173027575,0.214482904,0.043007785,2.251610204,0.360523108,0.752835759,0.229381026,0.321082784,2.230418189,0.312142072,3.040282201,0.568192371,0.486577726,DRA,ternarius,ternarius,W,4.442,17.488,141.43393,m01,Mentum length
RGA190718-001,1.945824493,0.87047143,2.778355863,0.212171827,0.092709158,1.868505164,0.31456587,0.721938726,0.217322299,NA,1.967183998,0.348556348,2.581029756,0.623292591,0.46336364,DRA,ternarius,ternarius,W,3.6,16.808,149.54747,m01,Mentum length
FJ190718-005,2.193243014,1.031760708,2.948954629,0.226177117,0.103930335,2.00861723,0.356999361,0.768784926,0.200923048,0.169458612,2.166977386,0.203376245,2.691940616,0.572317842,0.428732651,DRA,terricola,terricola,W,4.665,18.798,254.02362,m01,Mentum length
