specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
,,,,,,164.43844,,m10,Distal labial palpomeres length,68.11755
,,,,,,,,m11,Stipes length,668.91255
,,,,,,,,m12,Maxillary palp length,165.04621
,,,,,,,,m13,Galea length,980.7696
,,,,,,,,m14,Galea width,226.41555
,,,,,,,,m15,"Stipes width, across from palp",161.02795
OW220620-004,DRA,griseocollis,griseocollis,W,4.911589636,17.97904929,214.67081,m01,Mentum length,529.79713
,,,,,,,210.68354,m02,Mentum width,272.53542
,,,,,ITS pixels,BL pixels,216,m03,Glossa length,1028.3832
,,,,,865.33231,3078.52708,,m04,"Glossa width, at mid-point",42.37924
,,,,,,,,m05,Flabellum length,29.41088
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,573.01396
,,,,,176.18172,167.1945,,m07,Labial palpomere 1 width,92.08692
,,,,,,175.26266,,m08,Labial palpomere 2 length,175.04571
,,,,,,,,m09,Labial palpomere 2 width,49.16299
,,,,,,,,m10,Distal labial palpomeres length,48.60041
,,,,,,,,m11,Stipes length,584.95812
,,,,,,,,m12,Maxillary palp length,56.20597
,,,,,,,,m13,Galea length,780.03989
,,,,,,,,m14,Galea width,175.15453
,,,,,,,,m15,"Stipes width, across from palp",143.22011
OW220620-005,DRA,griseocollis,griseocollis,W,4.932951559,15.79438032,194.67123,m01,Mentum length,497.25748
,,,,,,,196,m02,Mentum width,210.68354
,,,,,ITS pixels,BL pixels,193.35172,m03,Glossa length,1145.2336
,,,,,864.14814,2770.54303,,m04,"Glossa width, at mid-point",46.09772
,,,,,,,,m05,Flabellum length,39.82462
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,519.75475
,,,,,172.4181,162.44384,,m07,Labial palpomere 1 width,75.32596
,,,,,188.67962,188.38259,,m08,Labial palpomere 2 length,174.00287
,,,,,164.43844,,,m09,Labial palpomere 2 width,41
,,,,,,,,m10,Distal labial palpomeres length,58.85576
,,,,,,,,m11,Stipes length,544.9789
,,,,,,,,m12,Maxillary palp length,62
,,,,,,,,m13,Galea length,709.35816
,,,,,,,,m14,Galea width,166.78429
,,,,,,,,m15,"Stipes width, across from palp",144.36759
OW220620-006,DRA,griseocollis,griseocollis,W,4.486877401,18.86780739,176.0202,m01,Mentum length,438.71859
,,,,,,,180.01975,m02,Mentum width,184.23656
,,,,,ITS pixels,BL pixels,180.00494,m03,Glossa length,1018.89089
,,,,,767.7708,3356.82633,184.00483,m04,"Glossa width, at mid-point",48.16638
,,,,,,,180.00494,m05,Flabellum length,24.4387
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,460.59285
,,,,,168.42803,177.9129,,m07,Labial palpomere 1 width,76.51289
,,,,,168.19037,,,m08,Labial palpomere 2 length,122.25276
,,,,,176.72578,,,m09,Labial palpomere 2 width,30.31604
,,,,,,,,m10,Distal labial palpomeres length,39.06565
,,,,,,,,m11,Stipes length,466.61869
,,,,,,,,m12,Maxillary palp length,52.23983
,,,,,,,,m13,Galea length,621.13847
,,,,,,,,m14,Galea width,142.94055
,,,,,,,,m15,"Stipes width, across from palp",118.37652
OW220620-007,DRA,terricola,terricola,W,4.256037192,16.54136031,222.08107,m01,Mentum length,472.3558
,,,,,,,230,m02,Mentum width,331.74689
,,,,,ITS pixels,BL pixels,216.03703,m03,Glossa length,960.30101
,,,,,728.04395,2834.42751,,m04,"Glossa width, at mid-point",55.90866
,,,,,,,,m05,Flabellum length,20.76322
