specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
FJ190703-004,vag,Q,JL,1,209.544,607.674,68.688,1478.55,69.357,379.352,
,,,,2,,188.597,,,,,
,,,,3,,900.562,,,,,
,,,,4,,58.592,,,,,
,,,,5,,29.155,,,,,
,,,,6,,601.123,,,,,
,,,,7,,105.437,,,,,
,,,,8,,217.72,,,,,
,,,,9,,51.662,,,,,
,,,,10,,86.833,,,,,
,,,,11,,587.225,,,,,
,,,,12,,74.511,,,,,
,,,,13,,879.692,,,,,
,,,,14,,178.466,,,,,
,,,,15,,137.641,,,,,
FJ190703-004,vag,Q,JL,1,209.599,616.007,68.238,1652.899,69.084,381.518,
,,,,2,,195.74,,,,,
,,,,3,,899.462,,,,,
,,,,4,,56.859,,,,,
,,,,5,,28.862,,,,,
,,,,6,,592.083,,,,,
,,,,7,,99.182,,,,,
,,,,8,,205.442,,,,,
,,,,9,,53.367,,,,,
,,,,10,,86.748,,,,,
,,,,11,,593.9,,,,,
,,,,12,,79.961,,,,,
,,,,13,,877.925,,,,,
,,,,14,,181.408,,,,,
,,,,15,,142.127,,,,,
JL190806-001,vag,M,JL,1,218.913,631.348,139.817,2631.962,138.833,702.026,
,,,,2,,147.105,,,,,
,,,,3,,984.445,,,,,
,,,,4,,52.498,,,,,
,,,,5,,22.204,,,,,
,,,,6,,666.651,,,,,
,,,,7,,67,,,,,
,,,,8,,200.489,,,,,
,,,,9,,37.054,,,,,
,,,,10,,61.697,,,,,
,,,,11,,586.533,,,,,
,,,,12,,83.084,,,,,
,,,,13,,937.33,,,,,
,,,,14,,174.27,,,,,
,,,,15,,125.766,,,,,
JL190628-006,terri,W,JL,1,308.676,681.704,69.316,1411.882,68.609,341.977,
,,,,2,,235.765,,,,,
,,,,3,,850.632,,,,,
,,,,4,,75.326,,,,,
,,,,5,,31.064,,,,,
,,,,6,,534.628,,,,,
,,,,7,,123,,,,,
,,,,8,,210.521,,,,,
,,,,9,,69.08,,,,,
,,,,10,,89.071,,,,,
,,,,11,,591.646,,,,,
