specimen.id,species,caste,image.initials,digitizer,its.mm,body.length.mm,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
JMS190709-001,vagans,W,DY,DY,3.869364213,17.91755483,2.189,2.001,0.651,0.667,1.86,1.637,0.604,0.665,1.393,1.349,0.404,0.354,2.575,2.538,0.944,0.913,2.111,1.991,0.772,0.836,1.87,2.092,0.609,0.717,2.593,2.623,0.896,0.876,2.983,2.868,0.784,0.99,2.067,1.974,0.729,0.802,
LMB190709-001,vagans,W,CL,DMO,5.736,22.369,2.237,,0.76,,2.312,,0.741,,1.978,,0.492,,3.084,3.61,1.279,1.282,2.894,2.847,1.22,1.068,3.018,3.044,0.824,0.75,3.853,4.006,0.856,1.309,4.262,4.156,1.479,1.309,3.128,2.84,1.228,1.024,
LMB190715-001,bimaculatus,W,CL,DMO,5.107,22.65,2.355,,0.605,,,,,,,,,,3.367,,1.32,,2.752,,1.075,,2.84,,0.783,,4.11,,1.459,,2.878,,1.238,,,,,,
LSK230629-001,vagans,W,MEM,MEM,3.59212732,19.56521765,2.589470538,,0.709238739,,2.347709134,,0.675614643,,1.841493519,,0.463475652,,3.084367424,,1.145106656,,2.756544937,,0.7672493,,3.100158296,,0.549929708,,3.745098907,,1.128889602,,4.597108604,,1.413191715,,2.813913457,,0.992882208,,
MEM230629-002,vagans,W,MEM,MEM,4.350602845,17.80883865,2.568043956,,0.841505495,,2.311197802,,0.700972527,,1.983384615,,0.494626374,,3.478021978,,1.274467033,,2.868181319,,0.887203297,,2.79078022,,0.629835165,,3.805945055,,1.22156044,,4.583989011,,1.430269231,,2.749785714,,1.122818681,,
MEM230629-003,borealis,W,MEM,MEM,,,3.625353355,,0.943671913,,2.881447022,,0.852830285,,2.386382193,,0.617558687,,4.167104543,,1.685673125,,3.715198877,,1.28740479,,3.863999739,,1.026098348,,5.320503098,,1.364758159,,5.521629478,,2.051042737,,3.962891866,,1.483109739,,
MEM230630-002,griseocollis,W,MEM,MEM,5.374129788,17.09351065,2.375082951,,0.79060809,,2.111075743,,0.664199276,,1.849685192,,0.536080194,,3.35259049,,1.35958263,,2.845428403,,0.803588867,,2.677320327,,0.789280878,,3.358676241,,1.116918711,,4.066560202,,1.339102568,,2.733241256,,0.945573533,,
MEM230630-005,impatiens,W,MEM,MEM,NA,14.49105315,2.343715627,,0.64642922,,1.922655003,,0.541805704,,1.755095163,,0.337369589,,2.804752399,,1.070323061,,2.591283319,,0.665989534,,2.462155246,,0.539983556,,3.097879346,,1.02441382,,3.9414672,,1.182229613,,2.745143717,,1.122670928,,
MEM230630-007,impatiens,W,MEM,MEM,4.050094319,14.11875286,2.126922396,,0.621822473,,1.891161938,,0.629975854,,1.839144887,,0.361396144,,2.722709275,,1.100506022,,2.510033819,,0.965807415,,2.445873321,,0.718645218,,3.028899564,,1.109736774,,3.745687803,,1.274287797,,2.649908143,,1.243650361,,
MEM230630-009,griseocollis,W,MEM,MEM,,,2.606653535,,0.740460165,,2.222040108,,0.78174857,,2.012141939,,0.715291356,,3.189030463,,1.432910431,,3.027921734,,1.024572797,,2.72263612,,0.673501428,,3.68613217,,1.258113403,,4.48495977,,1.269964603,,2.671044694,,1.184732994,,
