specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
,,,,,,,1515,334.667,
,,,,,,,1447,276,
,,,,,,,1335,264,
,,,,,,,1025.667,432,
,,,,,,,1369.667,428,
,,,,,,,1395,493.333,
,,,,,,,1405.667,516,
,,,,,,,1696.333,473.333,
,,,,,,,1396.333,596,
,,,,,,,1049.667,520,
,,,,,,,1436.333,624,
FJ190809-013,ternarius,W,JL,5.162,13.89,142.042,1828,466,its.large.tilt
,,,,,,,1497,495,
,,,,,,,1539,525,
,,,,,,,1608,531,
,,,,,,,1671,519,
,,,,,,,1715,566,
,,,,,,,1712,613,
,,,,,,,1688,618,
,,,,,,,1585,595,
,,,,,,,1501,595,
,,,,,,,1458,558,
,,,,,,,1380,543,
,,,,,,,1169,637,
,,,,,,,1400,650,
,,,,,,,1414,697,
,,,,,,,1420,715,
,,,,,,,1614,694,
,,,,,,,1408,767,
,,,,,,,1180,696,
,,,,,,,1437,788,
FJ190809-014,ternarius,W,JL,3.82,13.863,203.022,2230.667,198.667,its.slight.tilt
,,,,,,,1725.333,166.667,
,,,,,,,1782.667,226.667,
,,,,,,,1878.667,248,
,,,,,,,1973.333,244,
,,,,,,,2032,320,
,,,,,,,2017.333,377.333,
,,,,,,,1988,385.333,
,,,,,,,1841.333,333.333,
,,,,,,,1718.667,317.333,
,,,,,,,1661.333,249.333,
,,,,,,,1549.333,213.333,
,,,,,,,1228,310.667,
,,,,,,,1565.333,373.333,
,,,,,,,1570.667,448,
,,,,,,,1578.667,469.333,
,,,,,,,1866.667,482.667,
,,,,,,,1553.333,537.333,
,,,,,,,1233.333,402.667,
,,,,,,,1585.333,574.667,
FJ190814-001,bimaculatus,M,JL,4.877,19.971,141.34,2072.333,439,
,,,,,,,1596.333,465.667,
,,,,,,,1656.333,515,
,,,,,,,1739,519,
,,,,,,,1832.333,503,
,,,,,,,1895,567.667,
,,,,,,,1891,635.667,
,,,,,,,1856.333,642.333,
,,,,,,,1708.333,606,
,,,,,,,1592.333,611.333,
,,,,,,,1536.333,550,
,,,,,,,1427,531.333,
,,,,,,,1113.667,670,
,,,,,,,1449.667,683.333,
,,,,,,,1465.667,759.333,
,,,,,,,1476.333,778,
,,,,,,,1759,754,
,,,,,,,1456.333,842,
,,,,,,,1135,751.333,
,,,,,,,1495,872.667,
FJ190814-002,impatiens,M,JL,4.656,17.658,141.693,2219,136.667,
,,,,,,,1755,226,
,,,,,,,1828.333,266,
