specimen.id,species.det,provisional.species,caste,its.mm,body.length.mm,mouthparts,forewings,hindwings,legs
FJ190628-009,bimaculatus,,W,4.666,19.071,FALSE,TRUE,TRUE,FALSE
FJ190628-010,ternarius,,Q,5.495,28.738,FALSE,TRUE,TRUE,FALSE
FJ190628-011,bimaculatus,bimaculatus,W,4.717,19.529,TRUE,TRUE,TRUE,FALSE
FJ190628-012,bimaculatus,bimaculatus,W,4.372,18.096,TRUE,TRUE,TRUE,FALSE
FJ190628-013,bimaculatus,bimaculatus,W,4.437,19.812,TRUE,TRUE,TRUE,FALSE
FJ190628-014,ternarius,ternarius,W,3.678220013,16.32222474,TRUE,TRUE,TRUE,FALSE
FJ190703-001,vagans,cf vagans,W,3.506968667,17.42931989,TRUE,TRUE,TRUE,TRUE
FJ190703-002,vagans,cf vagans,W,4.046042623,16.75721241,TRUE,TRUE,TRUE,TRUE
FJ190703-003,borealis,cf borealis,Q,6.075,22.34,TRUE,TRUE,TRUE,FALSE
FJ190703-004,vagans,,Q,5.47,21.526,TRUE,TRUE,TRUE,FALSE
FJ190703-005,bimaculatus,bimaculatus,W,4.473,20.815,TRUE,TRUE,TRUE,TRUE
FJ190703-006,vagans,,W,4.143,15.406,TRUE,TRUE,TRUE,TRUE
FJ190703-007,vagans,cf vagans,W,4.380654766,15.36548883,TRUE,TRUE,TRUE,FALSE
FJ190703-008,vagans,cf vagans,W,3.999,16.448,TRUE,TRUE,TRUE,TRUE
FJ190703-009,perplexus,cf vagans,W,4.505506592,19.21960979,TRUE,TRUE,TRUE,TRUE
FJ190703-010,ternarius,ternarius,W,4.061370951,16.87854015,TRUE,TRUE,TRUE,TRUE
FJ190703-012,vagans,cf vagans,W,4.581926329,18.99997086,TRUE,TRUE,TRUE,TRUE
FJ190703-013,impatiens,impatiens,W,4.166,18.066,TRUE,TRUE,TRUE,TRUE
FJ190705-001,bimaculatus,bimaculatus,W,4.158,19.511,TRUE,TRUE,TRUE,FALSE
FJ190705-002,bimaculatus,bimaculatus,W,3.905,18.241,TRUE,TRUE,TRUE,FALSE
FJ190705-003,impatiens,impatiens,W,4.720565334,20.09659559,TRUE,FALSE,FALSE,FALSE
FJ190705-004,bimaculatus,bimaculatus,W,4.088,17.261,TRUE,TRUE,TRUE,TRUE
FJ190705-005,impatiens,impatiens,W,4.332,17.949,TRUE,TRUE,TRUE,FALSE
FJ190705-006,impatiens,impatiens,W,3.634360495,12.03729403,TRUE,TRUE,TRUE,FALSE
FJ190709-001,vagans,cf vagans,W,4.116863734,18.71097752,TRUE,TRUE,TRUE,TRUE
FJ190709-002,borealis,cf borealis,W,5.056,22.899,TRUE,TRUE,TRUE,TRUE
FJ190709-003,borealis,cf fervidus,W,4.386216547,18.99150626,TRUE,TRUE,TRUE,TRUE
FJ190709-004,bimaculatus,bimaculatus,W,4.471,18.188,TRUE,TRUE,TRUE,TRUE
FJ190709-005,bimaculatus,bimaculatus,W,4.561,21.146,TRUE,TRUE,TRUE,TRUE
FJ190709-006,bimaculatus,bimaculatus,W,4.114,19.547,TRUE,TRUE,TRUE,TRUE
FJ190709-007,bimaculatus,bimaculatus,W,4.36,19.92,TRUE,TRUE,TRUE,TRUE
FJ190709-008,impatiens,impatiens,W,4.715,18.478,TRUE,TRUE,TRUE,TRUE
FJ190709-009,vagans,cf sandersoni,W,4.645,15.697,TRUE,TRUE,TRUE,TRUE
FJ190709-010,bimaculatus,bimaculatus,W,4.504,17.962,TRUE,TRUE,TRUE,TRUE
FJ190709-011,vagans,cf vagans,W,4.307294443,22.59225076,TRUE,TRUE,TRUE,TRUE
FJ190709-012,bimaculatus,bimaculatus,W,4.192,17.878,TRUE,TRUE,TRUE,TRUE
FJ19071-003,ternarius,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
FJ190710-001,bimaculatus,bimaculatus,W,4.471,21.839,TRUE,TRUE,TRUE,TRUE
FJ190710-002,bimaculatus,bimaculatus,M,5.228237026,18.74399042,TRUE,TRUE,TRUE,TRUE
FJ190710-003,impatiens,impatiens,W,5.02,17.698,TRUE,TRUE,TRUE,TRUE
FJ190710-004,impatiens,impatiens,W,5.446,18.484,TRUE,TRUE,TRUE,TRUE
FJ190711-001a,borealis,cf fervidus,Q,7.104,36.347,TRUE,TRUE,TRUE,TRUE
FJ190711-001b,terricola,terricola,W,5.414075079,15.05213718,FALSE,TRUE,TRUE,TRUE
FJ190711-002,ternarius,ternarius,W,3.254243933,11.9042462,FALSE,TRUE,TRUE,TRUE
FJ190711-003,terricola,terricola,W,4.738546192,15.55191752,TRUE,FALSE,FALSE,TRUE
FJ190711-004,terricola,terricola,W,5.624667985,14.73057584,TRUE,TRUE,TRUE,TRUE
FJ190711-005,ternarius,ternarius,W,3.371287589,12.49727166,TRUE,TRUE,TRUE,TRUE
FJ190711-008,ternarius,ternarius,W,3.585917424,11.05253391,TRUE,TRUE,TRUE,TRUE
FJ190711-009,ternarius,ternarius,W,3.589744494,12.38532627,TRUE,TRUE,TRUE,TRUE
FJ190711-010,impatiens,impatiens,W,4.675,18.02,TRUE,TRUE,TRUE,TRUE
FJ190715-001,bimaculatus,bimaculatus,M,4.656952577,20.75715032,TRUE,TRUE,TRUE,TRUE
FJ190715-002,impatiens,impatiens,W,4.433,20.322,TRUE,TRUE,TRUE,TRUE
FJ190716-001,ternarius,ternarius,W,4.040816027,15.8439397,TRUE,TRUE,TRUE,TRUE
FJ190716-002,ternarius,ternarius,W,4.442,17.488,TRUE,TRUE,TRUE,TRUE
FJ190716-003,perplexus,cf vagans,W,4.073243776,16.54975355,TRUE,TRUE,TRUE,TRUE
FJ190716-004,bimaculatus,bimaculatus,W,3.125,16.118,TRUE,TRUE,TRUE,TRUE
FJ190716-005,bimaculatus,bimaculatus,W,3.842,18.6,TRUE,TRUE,TRUE,TRUE
FJ190716-006,bimaculatus,bimaculatus,W,4.977,20.382,TRUE,TRUE,TRUE,TRUE
FJ190716-007,bimaculatus,bimaculatus,W,5.675,22.727,TRUE,TRUE,TRUE,TRUE
FJ190716-008,bimaculatus,bimaculatus,W,5.141,18.325,TRUE,TRUE,TRUE,TRUE
FJ190716-009,impatiens,impatiens,W,5.141,18.325,TRUE,TRUE,TRUE,TRUE
FJ190716-010,vagans,cf vagans,M,4.568948427,21.23623261,TRUE,TRUE,TRUE,FALSE
FJ190716-011,ternarius,ternarius,W,4.040245857,16.39460891,TRUE,TRUE,TRUE,FALSE
FJ190716-012,bimaculatus,bimaculatus,W,5.03,21.884,TRUE,TRUE,TRUE,FALSE
FJ190716-013,bimaculatus,bimaculatus,W,5.453,21.583,TRUE,TRUE,TRUE,TRUE
FJ190718-001,vagans,vagans,W,3.631,19.883,TRUE,TRUE,TRUE,FALSE
FJ190718-002,perplexus,cf vagans,W,4.724,18.419,TRUE,TRUE,TRUE,TRUE
FJ190718-003,perplexus,cf vagans,W,4.625,18.903,TRUE,TRUE,TRUE,FALSE
FJ190718-004,impatiens,impatiens,W,4.435,18.677,TRUE,TRUE,TRUE,FALSE
FJ190718-005,terricola,terricola,W,4.665,18.798,TRUE,TRUE,TRUE,FALSE
FJ190724-001,vagans,,M,3.542,15.492,TRUE,TRUE,TRUE,TRUE
FJ190724-002,terricola,terricola,W,4.207281652,18.01213246,TRUE,TRUE,TRUE,TRUE
FJ190724-003,terricola,terricola,W,5.345313041,17.88439247,TRUE,TRUE,TRUE,TRUE
FJ190724-004,bimaculatus,bimaculatus,W,4.994,22.591,TRUE,TRUE,TRUE,TRUE
FJ190724-005,bimaculatus,bimaculatus,W,5.3,23.674,TRUE,TRUE,TRUE,FALSE
FJ190724-006,ternarius,ternarius,W,3.118410592,15.4935152,TRUE,TRUE,TRUE,TRUE
FJ190809-001,ternarius,ternarius,M,4.028,16.044,TRUE,TRUE,TRUE,TRUE
FJ190809-002,ternarius,ternarius,W,3.311960639,13.90488206,TRUE,TRUE,TRUE,TRUE
FJ190809-003,borealis,cf borealis,W,5.207,19.825,TRUE,TRUE,TRUE,TRUE
FJ190809-004,ternarius,ternarius,W,4.100345255,15.47614673,TRUE,TRUE,TRUE,TRUE
FJ190809-005,ternarius,ternarius,W,4.242421828,15.80833933,TRUE,TRUE,TRUE,TRUE
FJ190809-006,ternarius,ternarius,W,4.256094505,14.94658535,TRUE,TRUE,TRUE,TRUE
FJ190809-007,ternarius,ternarius,W,4.208,14.294,TRUE,TRUE,TRUE,TRUE
FJ190809-008,ternarius,ternarius,W,4.070088268,13.6186886,TRUE,TRUE,TRUE,TRUE
FJ190809-009,ternarius,ternarius,W,3.469178965,12.51358725,TRUE,TRUE,TRUE,TRUE
FJ190809-010,ternarius,ternarius,W,4.133157768,14.7012227,TRUE,TRUE,TRUE,TRUE
FJ190809-011,fervidus,cf borealis,W,3.441106384,13.91595619,TRUE,FALSE,FALSE,FALSE
FJ190809-012,ternarius,ternarius,W,3.699214487,14.45128018,TRUE,TRUE,TRUE,TRUE
FJ190809-013,ternarius,ternarius,W,5.161640885,13.88996231,TRUE,TRUE,TRUE,TRUE
FJ190809-014,ternarius,ternarius,W,3.820026505,13.86262594,TRUE,TRUE,TRUE,FALSE
FJ190814-001,bimaculatus,bimaculatus,M,4.877006377,19.97131267,TRUE,TRUE,TRUE,FALSE
