specimen_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,species,caste,investigator,scale,scale1,body,scale2,its,notes
FJ190709-001,2.327761241,0.656269904,3.014539002,0.224438133,0.082210032,1.977658551,0.328843379,0.668404154,0.199106992,0.254361051,2.093603359,0.327582509,3.229003913,0.641181708,0.495752687,vag,W,JL,307.724,69.697,1304.099,69.012,284.113,vag all has hairy tips
FJ190709-003,2.648269043,0.714545635,3.869826092,0.262171777,0.09523874,2.522546683,0.398756637,0.783273739,0.210455268,0.347143966,2.387207895,0.284930653,3.769575974,0.735408314,0.526506122,ferv,W,JL,221.496,65.46,1243.184,68.604,300.912,
FJ190709-004,2.91060845,0.929902307,4.508826781,0.244857086,0.109501024,2.877449115,0.432820401,1.061461222,0.247358309,0.364218005,2.676091567,0.322295326,4.010113643,0.746261758,0.680224023,bim,W,JL,110.346,69.469,1263.53,68.696,307.117,its.large.tilt; fur.yes
FJ190709-005,2.903715424,0.741765217,4.406282637,0.275239054,0.106497145,2.975491085,0.415776011,1.044771452,0.266283513,0.364763197,2.688213332,0.313150012,4.031500741,0.724210605,0.719876674,bim,W,JL,159.901,67.983,1437.548,69.214,315.671,its.large.tilt; fur.yes
FJ190709-006,2.539662781,0.685617884,3.964438974,0.26472584,0.111236423,2.544801089,0.425852524,0.92234977,0.228205476,0.330091862,2.310179747,0.469121012,3.783821348,0.774625741,0.594986171,bim,W,JL,213.689,71.309,1393.892,69.719,286.803,
FJ190709-007,2.857694483,0.776468982,4.256186984,0.274587047,0.107699358,2.910144899,0.409657351,1.004543948,0.28294362,0.316886713,2.613588939,0.37939037,4.082785654,0.804083702,0.596085964,bim,W,JL,102.554,68.494,1364.395,66.831,291.359,its.no.tilt; fur.yes
FJ190709-009,2.451553738,0.764821172,3.52749576,0.250010145,0.122006346,2.060376241,0.306787103,0.862419757,0.212406366,0.33296813,2.308223569,0.392467882,3.477430429,0.698630081,0.516251552,san,W,JL,246.438,69.655,1093.344,69.348,322.099,
FJ190709-010,2.761767046,0.73743273,4.160363143,0.242987505,0.104637559,2.812008049,0.458991998,0.926575881,0.224821002,0.327661566,2.468547896,0.33959474,4.00246151,0.761795124,0.577331649,bim,W,JL,106.845,69.499,1248.354,71.063,320.1,its.no.tilt; fur.yes
FJ190709-011,2.516817247,0.743060439,3.724508064,0.25725884,0.121629994,2.297921267,0.418741662,0.935509497,0.25089227,0.354486816,2.319472582,0.362476387,3.613235624,0.821724637,0.584899636,vag,W,JL,263.093,69.452,1569.077,69.409,298.965,
FJ190710-001,2.773894254,0.788659647,4.434384981,0.257456145,0.134025797,2.889676545,0.336542927,0.983955192,0.241619834,0.387511017,2.531961674,0.530540103,4.197086725,0.816190756,0.559871869,bim,W,JL,105.517,69.464,1517.031,68.818,307.717,its.large.tilt; fur.yes
FJ190710-002,2.998114928,0.768197289,4.707818582,0.262241214,0.126577161,2.782723153,0.44609447,0.992408003,0.226866738,0.346035238,2.802420037,0.429307459,4.444608977,0.853979805,0.613447472,bim,M,JL,212.724,70.138,1314.666,67.925,355.128,
FJ190710-003,2.515393703,0.731355578,3.747524792,0.267141617,0.138728161,2.3576193,0.395032708,0.861737949,0.262693476,0.341546523,2.379944388,0.377549544,3.592824308,0.773176945,0.502965427,imp,W,JL,248.868,68.366,1209.969,68.072,341.696,
FJ190710-004,2.541773789,0.833583508,3.817455248,0.260686968,0.139437587,2.465388116,0.394391837,0.844506012,0.246482922,0.288272679,2.279442058,0.296009453,3.521062549,0.745580697,0.573814733,imp,W,JL,125.246,68.924,1273.983,66.477,362.006,its.no.tilt; fur.yes
FJ190711-001,3.211291662,0.918418867,4.713738721,0.310830405,0.124680334,3.389098741,0.497477864,0.915476766,0.225429702,0.30708122,3.057054239,0.405277951,4.625386532,0.845926809,0.525960406,ferv,Q,JL,213.113,65.346,2375.132,65.015,461.861,
FJ190715-001,2.877529887,0.667995473,4.408905751,0.257252304,0.125819621,2.643018498,0.402417511,0.996485537,0.2372973,0.373930655,2.764627178,0.293634102,4.228568417,0.786653287,0.658835874,bim,M,JL,218.241,68.878,1429.711,67.119,312.57,
FJ190715-002,2.474782355,0.781802901,3.534180981,0.239526112,0.122186038,2.131267982,0.411201968,0.821214473,0.255982053,0.323239272,2.263793203,0.298680746,3.475951486,0.70529091,0.502465341,imp,W,JL,295.091,68.848,1399.146,67.519,299.292,
FJ190716-001,2.095814193,0.631478685,2.757804619,0.208609335,0.094535642,1.742529474,0.334848534,0.688107552,0.219952456,0.292168075,1.983404542,0.292710977,2.759854155,0.643065951,0.514311414,tern,W,JL,311.29,68.198,1080.525,68.037,274.925,
